Model,MAE,RMSE,R2
Random Forest,1315.6798583106463,1714.8340154679017,0.553856300614012
Gradient Boosting,1330.9895883406866,1747.9065038378726,0.5364815969492795
LightGBM,1349.1866961061235,1782.9063776001387,0.5177328708201314
XGBoost,1409.8566988845728,1860.2061346316557,0.47500794692938575
Neural Network (MLP),1594.3736459951258,2053.603123754717,0.3601714463600125
Decision Tree,1596.1943622652948,2178.6998208150458,0.2798459950003125
SVR (RBF),1710.582370434867,2223.91059991467,0.2496476714976763
Linear Regression,1823.3467130211964,2276.099019845606,0.21401747845624786
